"File","Status","Reason"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/.gitignore","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/add_first_log.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/add_log.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/add_logs.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/add_log_start.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/add_pointer_events.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/admin.html","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/all_files.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/analyze_diff.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/analyze_garble.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/app.html","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
